game_title,number_owners,rating,number_owners_rated,difficulty,percent_difficulty_votes,game_length,votes_game_length,number_completed_users,completion_rate,system
Wizardry VI: Bane of the Cosmic Forge,43,3.64,11,Tough-Unforgiving,NA,70,3,4,36,SNES
Wonder Project J,141,4.04,66,Just Right,71,14.5,16,44,63,SNES
Wondrous Magic,17,2.33,3,Just Right,100,20,1,1,33,SNES
Xak: The Art of Visual Stage,25,3.36,7,Just Right-Tough,25,32.5,4,4,NA,SNES
Ys III: Wanderers from Ys,570,3.4,244,Just Right-Tough,48.99,19.2,93,189,63,SNES
Ys IV: Mask of the Sun,167,3.56,75,Just Right-Tough,65.31,20,26,56,61,SNES
Ys V Expert,48,3.4,15,Easy-Just Right,45.45,24.6,7,7,39,SNES
Ys V: Ushinawareta Suna no Miyako Kefin,126,3.46,62,Easy,46,13.4,33,49,69,SNES
Yume Maboroshi no Gotoku,27,1.5,15,Tough,45.45,14.7,3,4,25,SNES
Yume Meikyuu: Kigurumi Daibouken,21,2.86,7,Just Right-Tough,66.67,NA,2,3,38,SNES
Rhapsody: A Musical Adventure,568,3.7,245,Easy,46.15,33.6,88,176,59,PSX
Monkey Hero,121,3.58,43,Just Right,77.8,16.5,12,17,35,PSX
The Airs,16,3.96,12,Easy-Just Right,70,64.7,9,9,75,PSX
Castlevania: Symphony of the Night,6245,4.6,4438,Just Right,67.18,33.5,1963,3257,82,PSX
Alnam no Kiba: Juuzoku Juuni Shinto Densetsu,11,2.83,3,Just Right-Tough,50,1,1,1,33,PSX
Alnam no Tsubasa: Shoujin no Sora no Kanata e,21,2.86,7,Just Right-Tough,33.33,30,4,5,56,PSX
Alundra 2,970,3.37,366,Just Right-Tough,64.68,32.8,105,201,43,PSX
Ancient Roman: Power of Dark  Side,8,2,2,Just Right,100,1,1,1,33,PSX
Angelique: Tenkuu no Requiem,14,3.83,9,Just Right-Tough,42.86,39,6,6,75,PSX
Asuncia: Matsue no Jubaku,19,2,9,Just Right,50,11.2,5,5,56,PSX
Azure Dreams,833,3.81,413,Just Right-Tough,54.98,50.5,120,228,50,PSX
Bardysh: Kromeford no Juunin,8,3.5,1,Just Right,100,30,2,2,100,PSX
Baroque,32,3.88,12,Tough,70,50,5,6,46,PSX
Baroque Syndrome,12,3.8,5,Just Right-Tough,50,73.3,3,3,60,PSX
Bastard!! Utsuro Naru Kamigami no Utsuwa,34,3.64,18,Tough,46.67,46.7,11,12,63,PSX
Battle Konchuuden,6,NA,NA,Just Right,100,40,1,1,100,PSX
Bealphareth,18,3.32,11,Just Right,63.64,24.6,7,8,67,PSX
Beyond the Beyond,587,3.28,281,Tough,58.82,54.2,85,157,49,PSX
Blade Arts,14,3.58,6,Just Right-Tough,83.33,40,2,3,50,PSX
Blaze & Blade Busters,16,3.71,7,Just Right-Tough,57.14,24,3,3,33,PSX
Blaze & Blade: Eternal Quest,119,3.11,70,Just Right-Tough,46.15,52.1,19,34,46,PSX
Blend X Brand,6,NA,NA,Just Right,100,20,1,1,100,PSX
Blue Breaker: Egao no Yakusoku,26,3.61,14,Just Right-Tough,71.43,59,10,10,71,PSX
Blue Forest Story: Kaze no Fuuin,23,3.88,8,Easy-Just Right,33.33,71.3,8,9,90,PSX
Boundary Gate: Daughter of Kingdom,15,3.61,9,Just Right,50,64.7,9,10,100,PSX
Bounty Sword First,38,2.83,27,Just Right,66.67,26.3,18,18,62,PSX
Bounty Sword: Double Edge,27,2.21,17,Just Right,57.14,23.7,11,11,58,PSX
Brave Fencer Musashi,1505,4.05,712,Just Right,72.33,33.5,239,479,55,PSX
Brave Prove,28,2.54,13,Unforgiving,77.78,12,1,2,15,PSX
Breath of Fire III,2679,4.16,1466,Just Right,74.56,54.4,577,1102,68,PSX
Breath of Fire IV,2787,4.06,1406,Just Right,79.01,49.7,559,999,63,PSX
Brightis,23,2.16,16,Tough,45.45,10.4,5,5,36,PSX
Chocobo no Fushigi na Dungeon,64,3.74,23,Just Right,76.92,48,5,10,40,PSX
Chocobo's Dungeon 2,489,3.67,208,Just Right-Tough,58.87,41.1,67,118,45,PSX
Choro Q Wonderful!,11,3.69,8,Easy-Just Right,57.14,22.7,6,6,75,PSX
Chou Hatsumei Boy Kanipan: Hirameki Wonderland,9,3.5,2,Easy-Just Right,66.67,26,2,2,67,PSX
Chou Mashin Eiyuuden Wataru: Another Step,10,3,1,Just Right,100,4,1,1,50,PSX
Chrono Cross,6813,4.22,4036,Just Right,71.92,57.5,1660,3059,69,PSX
Chrono Trigger,1963,4.43,1065,Just Right,80.52,47.9,414,742,69,PSX
Community Pom,26,3.84,16,Just Right-Tough,42.86,48,9,10,67,PSX
Community Pom: Omoide O Dakishimete,4,4,3,Just Right,100,55,2,2,67,PSX
Crime Crackers,33,3.55,22,Tough,60,49.3,12,12,60,PSX
Crime Crackers 2,27,3.63,12,Tough,50,55.6,9,10,83,PSX
Crusaders of Might and Magic,172,2.78,62,Just Right-Tough,53.85,22.7,19,25,34,PSX
Daibouken Deluxe: Harukanaru Umi,5,4.75,2,Easy-Just Right,50,16,2,2,100,PSX
Daikoukai Jidai II,16,3.72,9,Just Right-Tough,50,67.5,8,8,80,PSX
Darkstone,452,3.32,168,Just Right-Tough,62,37.8,43,73,34,PSX
Densetsu Kemono no Ana: Monster Complete World Ver. 2,6,4.5,3,Easy-Just Right,50,30,2,2,57,PSX
Devil Summoner: Soul Hackers,78,3.16,47,Just Right-Tough,39.47,55.3,28,28,56,PSX
Tecmo's Deception: Invitation to Darkness,254,3.66,94,Just Right-Tough,45.61,30.6,24,45,45,PSX
Threads of Fate,1292,3.88,615,Just Right,68.23,30.4,250,446,60,PSX
Diablo,772,3.82,345,Just Right-Tough,52.07,43.3,138,256,61,PSX
Digimon Tamers: Pocket Culumon,35,2.17,21,Easy-Just Right,42.86,14.3,7,10,43,PSX
Digimon World,1812,3.9,1143,Just Right-Tough,51.46,50.8,374,647,52,PSX
Digimon World 2,1009,3.74,607,Just Right-Tough,61.62,62.6,190,311,46,PSX
Digimon World 3,1474,3.89,945,Just Right-Tough,62.12,65,301,476,47,PSX
Doki Doki Poyacchio,18,3.08,12,Tough,40,20.8,5,5,45,PSX
Doraemon 3: Makai no Dungeon,10,4.5,3,Just Right,100,26,2,2,67,PSX
Dragon Drive,14,3.42,6,Just Right,50,14,6,6,100,PSX
Dragon Knight 4,22,3.7,10,Tough,71.43,35.1,7,9,90,PSX
Dragon Knights Glorious,13,3,1,Just Right,100,NA,NA,NA,NA,PSX
Torneko: The Last Hope,176,3.76,68,Just Right-Tough,41.46,35.7,23,32,43,PSX
Dragon Quest IV,133,3.98,50,Just Right-Tough,60.71,52,20,31,57,PSX
Dragon Quest Monsters 1+2: Hoshiori no Yuusha to Bokujou no Nakamatachi,40,4.03,18,Tough,40,60,5,6,35,PSX
Dragon Warrior VII,1567,4.05,766,Just Right-Tough,55.61,80,259,433,49,PSX
Dragon Valor,314,3.59,128,Just Right,67.95,27.2,54,78,55,PSX
Druid: Yami e no Tsuisekisha,19,1.65,17,Easy-Just Right,42.86,4.8,10,10,67,PSX
The Dungeon RPG,12,3.44,8,Tough,50,68,5,5,71,PSX
Dungeon Shoutenkai: Densetsu no Ken Hajimemashita,15,3.59,11,Easy-Just Right,50,22,8,8,80,PSX
Ecsaform,15,3.5,5,Just Right-Tough,75,40,2,2,40,PSX
Eithea,31,3.68,11,Tough,66.67,46.5,8,7,47,PSX
Eldergate,18,3.17,3,Just Right,100,NA,NA,2,33,PSX
Elie no Atelier: Salberg no Renkinjutsushi 2,37,3.97,18,Just Right,50,31.6,9,11,61,PSX
End Sector,17,1.69,13,Tough-Unforgiving,50,46,5,5,38,PSX
Farland Saga: Toki no Michishirube,10,2.33,3,Just Right,100,12,1,1,50,PSX
Final Fantasy,921,3.75,431,Just Right,64.66,35.4,201,365,70,PSX
Final Fantasy II,837,3.49,333,Just Right-Tough,59.49,41.5,125,251,59,PSX
Final Fantasy IV,1313,4.03,545,Just Right,68.89,48.6,198,432,63,PSX
Final Fantasy IX,14365,4.4,9061,Just Right,78.44,64,3925,7160,73,PSX
Final Fantasy V,2099,3.99,856,Just Right,67.1,48.7,353,633,59,PSX
Final Fantasy VI,3485,4.3,1689,Just Right,74.18,56.2,658,1187,60,PSX
Final Fantasy VII,19280,4.49,13049,Just Right,71.78,68.5,5804,10861,78,PSX
Final Fantasy VIII,14843,4.16,9123,Just Right,66.41,67.5,3764,6953,69,PSX
First Queen IV: Varcia Senki,27,1.21,19,Unforgiving,71.43,25,4,4,25,PSX
G-O-D Pure: Growth or Devolution,31,2.05,22,Just Right,64.29,34.4,11,12,55,PSX
Gauntlet Legends,319,3.47,118,Just Right,63.64,37.3,42,74,51,PSX
Suikoden,3467,4.19,1965,Just Right,74.25,42,928,1711,80,PSX
Suikoden II,3881,4.54,2548,Just Right,77.13,55.6,967,1671,78,PSX
Go-Jin Senki,15,1.75,10,Tough,42.86,16,2,2,22,PSX
Grandia,2615,4.1,1327,Just Right,74.11,58,541,937,62,PSX
The Granstream Saga,490,3.23,177,Just Right,69.61,26.4,60,124,52,PSX
Groove Adventure Rave: Mikan no Hiseki,12,1.75,2,Just Right,100,NA,NA,1,33,PSX
Groove Adventure Rave: Yuukyuu no Kizuna,16,3.07,7,Just Right,100,8,1,2,29,PSX
Guardian Recall,27,3.23,15,Easy-Just Right,46.15,19.7,10,11,73,PSX
Guardian's Crusade,373,3.67,164,Easy-Just Right,60.82,41.6,64,121,61,PSX
GUNNM Martian Memory,27,3.57,14,Just Right,83.33,40,6,6,55,PSX
Hunter x Hunter: Maboroshi no Greed Island,25,2.5,9,Easy-Just Right,57.14,9.6,5,5,50,PSX
Hunter x Hunter: Ubawareta Aura Stone,20,2.5,10,Easy-Just Right,40,20,3,3,38,PSX
Inuyasha,54,3.1,31,Easy,44.44,47.2,13,18,60,PSX
Jade Cocoon: Story of the Tamamayu,761,3.58,308,Just Right,73.74,33.4,106,200,52,PSX
Kaeru no Ehon: Adventure for the Lost Memories,16,3.5,9,Easy-Just Right,85.71,62.9,7,7,88,PSX
Kaibutsu Monster Para*Dice,12,1.77,11,Just Right-Tough,37.5,16,2,2,20,PSX
Kasei Monogatari,7,2.25,2,Just Right,100,60,1,1,50,PSX
Khamrai,22,3.31,8,Tough,50,77.5,4,6,67,PSX
King's Field(Japan),60,3.66,43,Just Right-Tough,63.33,28.1,20,25,69,PSX
King's Field,374,3.77,166,Tough,58.1,39.3,71,99,56,PSX
King's Field II,311,3.9,148,Just Right-Tough,44.57,47.4,54,86,61,PSX
Koudelka,856,3.71,391,Just Right,67.7,24.7,147,259,56,PSX
Kuro no Ken: Blade of the Darkness,13,3.21,7,Just Right-Tough,40,20,1,1,20,PSX
Kuroi Hitomi no Noir: Cielgris Fantasm (Noir Yeux Noire),13,2.67,3,NA,NA,NA,NA,NA,NA,PSX
Lagnacure,18,3.5,5,Tough,50,60,1,3,60,PSX
Lagnacure Legend,11,3.33,3,Tough,33.33,60,1,1,33,PSX
Legend of Legaia,2327,4.03,1358,Just Right-Tough,67.17,53.5,534,979,67,PSX
The Legend of Dragoon,5206,4.18,3202,Just Right,70.21,59.4,1203,2193,64,PSX
The Legend of Heroes III: Shiroki Majo,12,4.5,2,Just Right,100,80,1,1,100,PSX
The Legend of Heroes IV: Akai Shizuku,12,3.5,1,Just Right,100,80,1,1,100,PSX
Legend of Mana,2493,4.07,1307,Just Right,70.81,49.7,496,958,65,PSX
Light Fantasy Gaiden: Nyanyan ga Nyan,18,3.88,12,Tough-Unforgiving,45.45,47.5,8,8,73,PSX
Linda Cube Again,23,3.69,13,Just Right-Tough,55.56,10.7,3,3,23,PSX
Little Lovers: She So Game,18,3.83,9,Easy-Just Right,50,6.3,7,9,82,PSX
Little Princess: Maru Oukoku no Ningyou Hime 2,44,3.86,22,Easy-Just Right,60,66.9,7,10,45,PSX
Lunar 2: Eternal Blue,1774,4.23,823,Just Right,73.28,52,306,673,69,PSX
Lunar: Silver Star Story Complete,2069,4.24,1039,Just Right,70.91,47.1,425,911,76,PSX
Lunatic Dawn Odyssey,16,3.75,6,Just Right-Tough,66.67,40,1,1,33,PSX
Magical Medical,20,1.84,16,Tough-Unforgiving,66.67,23,4,4,25,PSX
Mahoutsukai ni Naru Houhou,5,NA,NA,NA,NA,NA,NA,NA,NA,PSX
Marie no Atelier Plus: Salberg no Renkinjutsushi,35,4.03,16,Easy-Just Right,45.45,35.4,10,12,80,PSX
Marie no Atelier: Salburg no Renkinjutsushi,47,3.5,16,Easy-Just Right,60,67.1,7,11,61,PSX
Medarot R,16,3.75,10,Tough,50,67.6,5,5,50,PSX
Medarot R Parts Collection,14,3.6,10,Tough-Unforgiving,50,49,2,2,20,PSX
Mega Man Legends,1926,4.1,1016,Just Right,74.88,26.8,440,829,72,PSX
Mega Man Legends 2,1426,4.21,742,Just Right,74.77,29.3,293,557,68,PSX
Persona,818,3.68,359,Just Right-Tough,60.66,57,126,200,47,PSX
Meremanoid,30,1.61,19,Unforgiving,77.78,12,3,3,15,PSX
Mitsumete Knight R: Daibouken-hen,15,3.61,9,Easy-Just Right,71.43,26.4,5,5,56,PSX
Momotarou Densetsu,8,4.17,3,Just Right-Tough,50,60,1,1,33,PSX
Momotarou Matsuri: Ishikawa Rokuemon no Maki,3,NA,NA,NA,NA,NA,NA,NA,NA,PSX
Monster Collection: Kamen no Madoushi,9,3.5,1,Easy,100,8,1,1,50,PSX
Moon,37,3.89,23,Tough,61.54,52.2,9,12,63,PSX
The Mystic Dragoons,22,2.44,9,Tough-Unforgiving,62.5,8,2,2,20,PSX
Nage Libre: Rasen no Soukoku,7,3.75,2,Just Right,100,NA,NA,1,50,PSX
Nemu Lu Mayu: Sleeping Cocoon,6,3.75,2,Just Right,100,60,2,2,100,PSX
Neorude,27,1.94,17,Tough-Unforgiving,57.14,24,3,3,19,PSX
Neorude 2,25,1.61,14,Tough-Unforgiving,61.54,17.3,3,3,21,PSX
Neorude: Kizamareta Monshou,22,1.79,14,Tough-Unforgiving,50,17.3,3,3,20,PSX
Ningyo no Rakuin,10,3.75,4,Just Right,100,40,3,3,75,PSX
Oasis Road,16,3.56,9,Just Right-Tough,42.86,50,4,4,57,PSX
Omise de Tensyu,NA,NA,NA,NA,NA,NA,NA,NA,NA,PSX
One Piece: Ocean's Dream,37,2.48,20,Easy,31.58,25.1,14,14,61,PSX
One Piece: Tobidase Kaizokudan!,33,2.73,20,Tough,43.75,20.8,10,11,50,PSX
Oni Zero: Fukkatsu,19,3.5,1,Tough,100,NA,NA,NA,NA,PSX
Ore no Shikabane o Koete Yuke,29,3.79,17,Just Right-Tough,69.23,51.1,11,12,75,PSX
Ouji-sama LV1,5,NA,NA,NA,NA,NA,NA,NA,NA,PSX
Oukyuu no Hihou: Tenshon,5,NA,NA,NA,NA,NA,NA,NA,NA,PSX
Out Live: Be Eliminate Yesterday,2,NA,NA,NA,NA,NA,NA,NA,NA,PSX
Pachi Pachi Saga,2,NA,NA,NA,NA,NA,NA,NA,NA,PSX
PAL: Shinken Densetsu,23,2.47,17,Tough,38.46,52,5,5,31,PSX
Pangaea,6,3.75,2,Just Right,100,50,2,2,67,PSX
Parasite Eve,3743,4.11,2026,Just Right-Tough,64.31,31.8,875,1504,67,PSX
Parasite Eve II,2604,4.02,1242,Just Right-Tough,60.94,29.7,482,807,60,PSX
Persona 2: Eternal Punishment,1462,3.84,644,Just Right-Tough,55.44,60.9,209,308,45,PSX
Persona 2: Tsumi - Innocent Sin,528,3.65,304,Just Right,52.82,48.3,90,150,54,PSX
Planet Laika,19,3.77,11,Tough,33.33,50,5,5,71,PSX
Pocket Digimon World,14,3.69,8,Just Right,87.5,16,4,4,50,PSX
Pocket Digimon World: Cool & Nature Battle Disc,8,3.67,3,Just Right,100,20,1,1,50,PSX
Pocket Digimon World: Wind Battle Disc,10,2.5,5,Tough,50,NA,NA,NA,NA,PSX
Pocket Dungeon,6,NA,NA,NA,NA,NA,NA,NA,NA,PSX
PoPoLoCrois Monogatari,44,3.76,19,Tough,41.67,47.7,7,13,59,PSX
PoPoLoCrois Monogatari II,35,3.85,17,Just Right-Tough,28.57,66.7,3,9,60,PSX
PoPoRoGue,28,3.6,10,Tough-Unforgiving,50,28.5,4,4,36,PSX
Prisoner,7,4.5,1,Tough,100,40,1,1,100,PSX
Purumui Purumui,23,3.44,8,Just Right-Tough,42.86,8.8,5,5,71,PSX
Riot Stars,8,3.33,3,Just Right-Tough,66.67,40,1,1,25,PSX
RPG Maker,559,3.39,201,Just Right,54.37,66.7,37,57,21,PSX
RPG Tsukuru 4,13,3.71,7,Just Right-Tough,60,45.8,5,5,83,PSX
Rubbish Blazon,16,3.25,6,Just Right-Tough,50,26.7,3,3,43,PSX
Rune no Joka: Hikaru to Yamo no Sei-oujo,6,NA,NA,NA,NA,NA,NA,NA,NA,PSX
Rurouni Kenshin: Meiji Kenkaku Romantan - Juuyuushi Inbou Hen,44,3.69,21,Easy-Just Right,64.71,45.2,10,14,67,PSX
Ryuki Densyo: Dragoon,26,3.63,16,Easy-Just Right,53.33,30,14,15,94,PSX
SaGa Frontier,1429,3.81,716,Tough,54.07,67.4,246,426,51,PSX
SaGa Frontier 2,1185,3.57,513,Tough,59.09,49.9,123,225,37,PSX
Satomi no Nazo,32,1.54,23,Tough-Unforgiving,61.9,50,7,7,32,PSX
Seikai no Monshou,8,4.25,2,Just Right,100,NA,NA,NA,NA,PSX
Seikoku 1092: Souheiden,7,NA,NA,NA,NA,NA,NA,NA,NA,PSX
Seirei Shoukan: Princess of Darkness,11,3,1,Just Right,100,60,1,1,100,PSX
Senkai Taisen: TV Animation Senkaiden Fuukami Engiyori,12,3.5,2,Just Right,100,NA,NA,NA,NA,PSX
Shachou Eiyuuden: The Eagle Shooting Heroes,16,4,9,Just Right,100,26.4,5,5,63,PSX
Shadow Madness,342,3.14,145,Easy-Just Right,40,42.4,45,79,44,PSX
Shadow Tower,189,3.86,67,Tough,38.3,32.7,30,40,54,PSX
Shin Megami Tensei,93,3.12,59,Tough,39.13,48,35,40,69,PSX
Shin Megami Tensei if…,97,2.79,64,Just Right-Tough,44.9,53.2,30,35,54,PSX
Shin Megami Tensei II,94,3.41,62,Tough,37.74,59.2,35,41,67,PSX
Shin Megami Tensei: Devil Children,68,2.09,49,Just Right,32.5,39.7,25,28,58,PSX
Shinsetsu Samurai Spirits: Bushidou Retsuden,32,3.92,18,Tough,42.86,25.5,9,9,53,PSX
Silent Mobius: Genei no Datenshi,13,3.5,2,Just Right,100,40,1,1,50,PSX
The Tozan RPG,14,2.44,9,Tough,42.86,35,4,4,40,PSX
Simulation RPG Tsukuru,3,NA,NA,NA,NA,NA,NA,NA,NA,PSX
Slayers Wonderful,41,1.64,25,Tough-Unforgiving,72.22,50,5,6,23,PSX
Solid Link: Dungeon Side,5,NA,NA,NA,NA,NA,NA,NA,NA,PSX
Solid Link: Tower Side,6,NA,NA,NA,NA,NA,NA,NA,NA,PSX
Sonata,17,3.92,6,Just Right,83.33,34.4,5,5,83,PSX
Spectral Blade,20,3.6,5,Just Right,50,56.7,3,3,43,PSX
Spectral Tower,21,3.06,8,Just Right-Tough,42.86,62.5,4,4,50,PSX
Spectral Tower II,17,3.67,6,Just Right-Tough,50,42.4,5,5,83,PSX
Star Ocean: The Second Story,2398,4.26,1350,Just Right-Tough,63.06,67.6,507,1011,67,PSX
Startling Odyssey 1: Blue Evolution,16,2.71,7,Just Right,40,11.2,5,5,100,PSX
Suna no Embrace: Eden no Sato no Never,10,5,NA,NA,NA,NA,NA,NA,NA,PSX
Super Hero Sakusen,16,3.58,6,Just Right,100,50,2,4,57,PSX
Super Hero Sakusen: Daidaru no Yabou,12,2.88,4,Easy,33.33,50,2,3,60,PSX
Suzu Monogatari,5,3.5,1,Just Right,100,60,1,1,100,PSX
Tales of Destiny,1300,3.92,662,Just Right,69.12,52.8,276,511,66,PSX
Tales of Destiny II,1090,4.09,565,Just Right,74.07,56.5,215,435,67,PSX
Tales of Phantasia,458,4.16,275,Just Right,72.38,52.9,128,189,67,PSX
Tasogare no Ode: Ode to the Sunset Era,31,1.35,23,Tough-Unforgiving,72.22,32,7,7,32,PSX
Tenshi Doumei,8,4,1,Just Right,100,NA,NA,NA,NA,PSX
Thousand Arms,738,3.68,311,Just Right,68.45,42.8,114,223,59,PSX
Tilk: Ano Umi kara Kita Shoujo,12,3.67,3,Just Right,100,60,1,1,25,PSX
Tokoro-san no Daifugou,2,NA,NA,NA,NA,NA,NA,NA,NA,PSX
Tokyo Dungeon,18,3.35,10,Tough,77.78,34.3,7,7,70,PSX
Tokyo Mew Mew,18,3.3,10,Easy,42.86,31.6,5,6,67,PSX
Treasure Gear,20,3.44,9,Tough,70,40,7,7,70,PSX
TwinBee RPG,28,3.83,12,Just Right-Tough,50,50.3,6,9,64,PSX
Ultima Underworld: The Stygian Abyss,11,3.17,9,Tough-Unforgiving,50,7,2,4,57,PSX
Vagrant Story,3249,4.12,1570,Tough,62.58,47.8,493,853,46,PSX
Valkyrie Profile,1622,4.34,894,Just Right-Tough,60.59,52.5,339,665,66,PSX
Vampire: Kyuuketsuki Densetsu,12,3.58,6,Tough,50,70,3,4,80,PSX
Velldeselba Senki: Tsubasa no Kunshou,15,4.13,4,Just Right,100,20,1,1,25,PSX
WakuPuyo Dungeon Ketteiban,7,NA,NA,NA,NA,NA,NA,NA,NA,PSX
Weltorv Estleia,7,4.25,2,Just Right,100,NA,NA,NA,NA,PSX
White Diamond,14,3.64,7,Just Right-Tough,60,26,2,3,50,PSX
Wild Arms,2803,4,1411,Just Right,76.89,47.8,544,959,60,PSX
Wild Arms 2,2015,3.97,910,Just Right,75.42,54.3,339,641,60,PSX
Wizardry Empire II: Oujo no Isan - Legacy of the Princess,6,NA,NA,NA,NA,NA,NA,NA,NA,PSX
Wizardry Empire: Inishie no Oujo,6,NA,NA,NA,NA,NA,NA,NA,NA,PSX
Wizardy VII: Gadeia no Houshu,14,3.83,9,Tough,50,48,5,5,63,PSX
Wizardy: Dimguil,13,3.21,7,Tough,75,36.7,3,4,80,PSX
Wolkenkratzer: Shinpan no Tou,6,NA,NA,NA,NA,NA,NA,NA,NA,PSX
Xenogears,4803,4.4,2922,Just Right,67.69,69.4,1212,2043,65,PSX
Yakata: Nightmare Project,21,3.42,12,Tough,54.55,62,5,5,45,PSX
Yu-Gi-Oh! Monster Capsule Breed & Battle,36,3.34,19,Just Right-Tough,41.18,26.2,9,11,55,PSX
Yuukyuu no Eden,14,3.21,7,Just Right-Tough,42.86,23,4,4,57,PSX
Zia & the Goddesses of Magic,NA,NA,NA,NA,NA,NA,NA,NA,NA,PSX
Zill O'll,38,3.85,20,Just Right-Tough,56.25,63.8,13,13,68,PSX
Zoids 2: Herikku Kyouwakoku VS Gairosu Teikoku,11,2,2,Tough,100,8,1,1,50,PSX
Zoids Battle Card Game: Seihou Tairiku Senki,8,2.75,2,Just Right,100,4,1,1,50,PSX
Zoids: Teikoku vs Kyouwakoku - Mecha Seita no Idenshi,16,4,7,Tough,60,53,4,4,67,PSX
.hack//Mutation Part 2,2235,3.87,878,Just Right,72.69,39.3,347,852,73,PS2
.hack//Fragment,171,3.81,65,Just Right-Tough,58.54,48.5,32,43,57,PS2
.hack//G.U. vol. 1//Rebirth,1946,4,1007,Just Right,77.33,42.1,408,937,83,PS2
.hack//G.U. vol. 2//Reminisce,1713,4.05,851,Just Right,78.18,44.3,357,802,84,PS2
.hack//G.U. vol. 3//Redemption,1672,4.13,847,Just Right,75,52,336,748,81,PS2
.hack//Infection Part 1,3122,3.77,1401,Just Right,68.35,37.9,531,1266,69,PS2
.hack//Outbreak Part 3,1932,3.89,719,Just Right,71.5,40.8,283,678,72,PS2
.hack//Quarantine Part 4,1681,3.97,620,Just Right,67.17,43.5,224,529,67,PS2
3-Nen B-Gumi Kinpachi Sensei: Densetsu no Kyoudan ni Tate!,19,1.96,12,Tough,37.5,14.4,5,5,45,PS2
Abarenbou Princess,27,3.25,14,Easy-Just Right,45.45,33.2,10,10,67,PS2
Angel's Feather,19,3.61,9,Easy-Just Right,62.5,9.8,8,8,89,PS2
Ar tonelico II: Melody of Metafalica,1416,4.04,706,Just Right,64.25,57.9,244,458,56,PS2
Ar tonelico: Melody of Elemia,1557,3.95,811,Easy-Just Right,59.38,51.8,317,616,66,PS2
Arc the Lad: End of Darkness,688,2.92,196,Just Right,51,41.6,54,113,44,PS2
Atelier Iris 2: The Azoth of Destiny,1340,3.92,538,Just Right,73,48,214,449,67,PS2
Atelier Iris 3: Grand Phantasm,1216,3.75,478,Just Right,73.13,47.7,162,325,56,PS2
Atelier Iris: Eternal Mana,1613,3.8,712,Just Right,77.63,46.9,251,547,62,PS2
Bakufuu Slash! Kizna Arashi,9,3.25,4,Just Right-Tough,66.67,14,2,2,NA,PS2
Baldur's Gate: Dark Alliance,1745,3.8,755,Just Right,73.56,30.7,274,704,76,PS2
Baldur's Gate: Dark Alliance II,1206,3.75,501,Just Right,69.92,36.5,171,429,71,PS2
The Bard's Tale,531,3.65,203,Just Right,64.36,30.6,54,126,NA,PS2
Baroque,474,3.35,171,Tough,59.46,52.3,35,61,28,PS2
Bleach: Hanatareshi Yabou,59,2.34,35,Easy-Just Right,36.36,11.2,20,22,55,PS2
Okage: Shadow King,787,3.71,314,Just Right,63,37.3,77,160,43,PS2
Bomberman Land 3,26,3.67,12,Easy-Just Right,NA,19.3,6,8,62,PS2
Bouken Jidai Katsugeki: Goemon,45,3.93,27,Just Right-Tough,NA,37.2,13,14,54,PS2
Bouken-Ou Beet: Darkness Century,22,3.59,11,Tough,42.86,13.6,5,8,73,PS2
Brave Story,55,3.89,27,Easy-Just Right,65.22,50,18,20,71,PS2
Breath of Fire: Dragon Quarter,1759,3.47,703,Tough,54.2,44,188,423,47,PS2
Busin 0: Wizardry Alternative Neo,24,3.64,14,Just Right-Tough,55.56,75,6,8,67,PS2
Wizardry: Tale of the Forsaken Land,340,3.69,140,Just Right-Tough,63.24,58.6,32,62,NA,PS2
Champions of Norrath,1209,3.81,533,Just Right,74.81,45.7,180,418,66,PS2
Champions: Return to Arms,929,3.85,424,Just Right,73.81,51.7,137,316,65,PS2
Mystic Heroes,174,3.31,62,Just Right,64,23,16,26,39,PS2
Code Age Commanders,40,3.5,9,Just Right,NA,40,3,5,42,PS2
Colosseum: Road to Freedom,139,3.69,67,Just Right-Tough,51.43,37.9,20,34,47,PS2
Dark Angel:  Vampire Apocalypse,170,2.63,51,Tough,44,33.7,13,14,22,PS2
Dark Cloud 2,3693,4.17,1935,Just Right,73.89,65.9,626,1151,53,PS2
Dark Cloud,3747,3.87,1837,Just Right,67.17,52,575,1179,53,PS2
Dawn of Mana,803,3.14,263,Just Right,58.54,27.8,58,116,35,PS2
Demon Bane,24,1.89,14,Tough-Unforgiving,55.56,33.3,3,4,33,PS2
Shin Megami Tensei: Devil Summoner 2: Raidou Kuzunoha vs. King Abaddon,1480,4.1,671,Just Right,61.22,59.2,178,306,42,PS2
Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. the Soulless Army,1727,3.96,805,Just Right-Tough,55,49.4,264,442,52,PS2
Digimon World Data Squad,446,3.47,215,Just Right,61.21,37.5,58,102,39,PS2
Digimon World 4,643,3.48,363,Just Right-Tough,52.25,54.1,87,172,43,PS2
Shin Megami Tensei: Digital Devil Saga,3111,4.17,1565,Tough,57.98,54.2,596,1018,59,PS2
Shin Megami Tensei: Digital Devil Saga 2,2496,4.18,1041,Just Right-Tough,58.43,52.5,370,643,57,PS2
Dokapon Kingdom,190,3.79,91,Just Right-Tough,47,47.4,29,49,45,PS2
Dokapon the World,31,3.27,26,Just Right-Tough,53.33,38.5,12,12,63,PS2
