game_title,number_owners,rating,number_owners_rated,difficulty,percent_difficulty_votes,game_length,votes_game_length,number_completed_users,completion_rate,system
Lunar: Silver Star Harmony,1212,4.04,577,Easy-Just Right,67.95,36.6,176,305,46,PSP
Magna Carta Portable,44,3.95,21,Just Right,72.73,43.3,6,8,35,PSP
MagusTale Eternity: Seikaiju to Koisuru Mahou Tsukai,9,3.7,5,Just Right,100,20,1,2,50,PSP
Mana Khemia 2: Ochita Gakuen to Renkinjutsushi Tachi Portable+,61,4.05,43,Just Right,74,52.3,18,23,58,PSP
Mana Khemia: Student Alliance,867,4.06,461,Just Right,75,52.9,139,230,42,PSP
Marvel: Ultimate Alliance,321,3.83,165,Just Right,71.95,30.5,57,116,62,PSP
Marvel: Ultimate Alliance 2,154,3.3,87,Easy-Just Right,66.67,27.6,28,39,42,PSP
Mega Man Legends,99,4.09,45,Just Right,51.61,22.2,18,29,59,PSP
Mimana Iyar Chronicle,355,3.6,161,Just Right,71.25,28.3,43,87,46,PSP
MonHun Nikki: Poka Poka Ailu Mura,28,3.65,13,Easy-Just Right,66.67,20,1,2,17,PSP
MonHun Nikki: Poka Poka Ailu Mura G,21,3.83,6,Easy-Just Right,NA,NA,NA,NA,NA,PSP
Monster Hunter Freedom,1348,4.01,735,Tough,58.11,77.7,175,298,35,PSP
Monster Hunter Freedom 2,2865,4.34,1989,Tough,59.69,77.7,221,668,NA,PSP
Monster Hunter Freedom Unite,5616,4.46,4126,Tough,64.47,NA,900,1366,32,PSP
Monster Hunter Portable 3rd,1698,4.44,1356,Just Right-Tough,54.5,79.2,473,593,48,PSP
Monster Kingdom: Jewel Summoner,288,3.64,121,Easy-Just Right,55.56,33,27,63,45,PSP
Motto Nuga-Cel!,29,4.13,20,Just Right-Tough,NA,53.1,11,14,74,PSP
Nayuta no Kiseki,118,4.01,63,Just Right,NA,39.6,31,41,69,PSP
Nendoroid Generation,66,3.88,37,Just Right,75.86,17.9,9,12,38,PSP
One Piece: Romance Dawn,107,3.84,77,Just Right,62.5,45.2,28,31,46,PSP
Ore no Dungeon,21,1.88,13,Just Right-Tough,37.5,17.3,3,3,NA,PSP
Ore no Shikabane o Koete Yuke,22,3.5,8,Just Right,83.33,43,4,4,NA,PSP
Shin Megami Tensei: Persona,2228,3.8,1132,Just Right-Tough,56,48.3,290,437,35,PSP
Persona 2: Batsu,150,3.3,72,Easy-Just Right,44.23,51.6,32,37,54,PSP
Shin Megami Tensei: Persona 2 - Innocent Sin,2091,4.04,1073,Just Right,56.74,49.6,324,402,39,PSP
Shin Megami Tensei: Persona 3 Portable,5394,4.36,3802,Just Right-Tough,68.95,73.7,1724,2179,NA,PSP
Phantasy Star Portable,1581,3.99,883,Just Right,63.39,51.6,174,437,42,PSP
Phantasy Star Portable 2,1441,4.23,910,Just Right-Tough,63.58,60.6,284,449,46,PSP
Phantasy Star Portable 2 Infinity,199,4.22,136,Just Right-Tough,63.75,68.2,44,65,53,PSP
PoPoLoCrois,550,3.68,186,Easy-Just Right,65.52,34.7,38,95,42,PSP
Princess Crown,88,3.84,34,Just Right-Tough,46.67,48.2,9,16,43,PSP
Puella Magi Madoka Magica Portable,66,4,44,Just Right-Tough,51.43,40.8,24,25,66,PSP
Ranshima Monogatari Rare Land Story: Shoujo no Yakujou,8,1.75,2,NA,NA,NA,NA,1,50,PSP
Rezel Cross,27,2.62,13,Just Right-Tough,37.5,40,2,2,17,PSP
Riviera: The Promised Land,786,3.84,335,Just Right,66.48,37.4,106,192,46,PSP
